sheet_part,ref,label,formula,cached,shared,whole_column
xl/worksheets/sheet1.xml,B2,,"SUMIFS(Transactions!$H$2:$H$1201,Transactions!$C$2:$C$1201,""OPS"")",696140,0,0
xl/worksheets/sheet1.xml,B3,,"AVERAGEIFS(Transactions!$H$2:$H$1201,Transactions!$I$2:$I$1201,""Yes"")",2828.34669582119,0,0
xl/worksheets/sheet1.xml,B4,,"COUNTIFS(Transactions!$I$2:$I$1201,""No"")",171,0,0
xl/worksheets/sheet1.xml,B5,,MAX(Transactions!$H$2:$H$1201),5816.7,0,0
xl/worksheets/sheet1.xml,B6,,MIN(Transactions!$H$2:$H$1201),112.2,0,0
xl/worksheets/sheet1.xml,B7,,"_xlfn.XLOOKUP(""OPS"",Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Operations,0,0
xl/worksheets/sheet1.xml,B8,,_xlfn.UNIQUE(Transactions!$C$2:$C$1201),FIN,0,0
xl/worksheets/sheet2.xml,F2,,"VLOOKUP(D2,Lookup!$A$2:$B$4,2,FALSE())",0.1,0,0
xl/worksheets/sheet2.xml,G2,,"ROUND(E2*F2,2)",13.7,0,0
xl/worksheets/sheet2.xml,H2,,E2+G2,150.7,0,0
xl/worksheets/sheet2.xml,J2,,"_xlfn.XLOOKUP(C2,Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Finance,0,0
xl/worksheets/sheet2.xml,F3,,"VLOOKUP(D3,Lookup!$A$2:$B$4,2,FALSE())",0.15,0,0
xl/worksheets/sheet2.xml,G3,,"ROUND(E3*F3,2)",26.1,0,0
xl/worksheets/sheet2.xml,H3,,E3+G3,200.1,0,0
xl/worksheets/sheet2.xml,J3,,"_xlfn.XLOOKUP(C3,Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Quality,0,0
xl/worksheets/sheet2.xml,F4,,"VLOOKUP(D4,Lookup!$A$2:$B$4,2,FALSE())",0.05,0,0
xl/worksheets/sheet2.xml,G4,,"ROUND(E4*F4,2)",10.55,0,0
xl/worksheets/sheet2.xml,H4,,E4+G4,221.55,0,0
xl/worksheets/sheet2.xml,J4,,"_xlfn.XLOOKUP(C4,Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Human Resources,0,0
xl/worksheets/sheet2.xml,F5,,"VLOOKUP(D5,Lookup!$A$2:$B$4,2,FALSE())",0.1,0,0
xl/worksheets/sheet2.xml,G5,,"ROUND(E5*F5,2)",24.8,0,0
xl/worksheets/sheet2.xml,H5,,E5+G5,272.8,0,0
xl/worksheets/sheet2.xml,J5,,"_xlfn.XLOOKUP(C5,Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Technology,0,0
xl/worksheets/sheet2.xml,F6,,"VLOOKUP(D6,Lookup!$A$2:$B$4,2,FALSE())",0.15,0,0
xl/worksheets/sheet2.xml,G6,,"ROUND(E6*F6,2)",42.75,0,0
xl/worksheets/sheet2.xml,H6,,E6+G6,327.75,0,0
xl/worksheets/sheet2.xml,J6,,"_xlfn.XLOOKUP(C6,Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Operations,0,0
xl/worksheets/sheet2.xml,F7,,"VLOOKUP(D7,Lookup!$A$2:$B$4,2,FALSE())",0.05,0,0
xl/worksheets/sheet2.xml,G7,,"ROUND(E7*F7,2)",16.1,0,0
xl/worksheets/sheet2.xml,H7,,E7+G7,338.1,0,0
xl/worksheets/sheet2.xml,J7,,"_xlfn.XLOOKUP(C7,Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Finance,0,0
xl/worksheets/sheet2.xml,F8,,"VLOOKUP(D8,Lookup!$A$2:$B$4,2,FALSE())",0.1,0,0
xl/worksheets/sheet2.xml,G8,,"ROUND(E8*F8,2)",35.9,0,0
xl/worksheets/sheet2.xml,H8,,E8+G8,394.9,0,0
xl/worksheets/sheet2.xml,J8,,"_xlfn.XLOOKUP(C8,Departments!$A$2:$A$6,Departments!$B$2:$B$6,""Unknown"")",Quality,0,0
xl/worksheets/sheet2.xml,F9,,"VLOOKUP(D9,Lookup!$A$2:$B$4,2,FALSE())",0.15,0,0
